provinsi,produksi_beras (ton),jumlah_miskin_maret (ribu),persen_miskin_maret (%),ikp
aceh,956278.09,804.53,14.23,73.94
sumatera utara,1264752.48,1228.01,7.99,77.49
sumatera barat,785425.72,345.73,5.97,84.32
riau,127438.73,492.25,6.67,70.42
jambi,162563.9,265.42,7.1,74.94
sumatera selatan,1670744.56,984.24,10.97,74.07
bengkulu,157151.04,281.36,13.56,73.39
lampung,1604614.06,941.23,10.69,82.58
kepulauan bangka belitung,45930.55,69.95,4.55,70.21
kepulauan riau,174.59,138.3,5.37,66.29
dki jakarta,1359.57,464.93,4.3,85.13
jawa barat,4981868.86,3848.67,7.46,82.97
jawa tengah,5113021.6,3704.33,10.47,85.34
di yogyakarta,257219.86,445.55,10.83,84.15
jawa timur,5352936.04,3982.69,9.79,83.86
banten,883128.02,791.61,5.84,79.25
bali,358378.78,184.43,4.0,88.23
nusa tenggara barat,827788.45,709.01,12.91,78.44
nusa tenggara timur,414576.01,1127.57,19.48,70.91
kalimantan barat,452439.81,336.08,6.32,73.94
kalimantan tengah,217495.56,145.63,5.17,70.16
kalimantan selatan,609172.41,183.31,4.11,82.95
kalimantan timur,145209.36,221.34,5.78,78.61
kalimantan utara,17832.41,47.83,6.32,75.77
sulawesi utara,153483.66,186.86,7.25,76.32
sulawesi tengah,449754.96,379.76,11.77,76.87
sulawesi selatan,2764990.01,736.48,8.06,83.82
sulawesi tenggara,319205.15,319.71,11.21,76.68
gorontalo,131138.53,177.99,14.57,81.47
sulawesi barat,183138.8,162.19,11.21,71.99
maluku,51031.04,297.68,16.05,62.68
maluku utara,17478.19,83.09,6.32,61.44
papua barat,12455.13,110.16,21.66,51.36
papua,2632.19,152.91,17.26,40.21
